uniqueID,x,y,long,lat,Slope,Aspect,CAC,CEC,CLA,SAN,SIL,WAT,mean.SWI,Hydric,Floodplain,totalPPT,MeanTEMP,direction
1835,564437.0111,410758.0046,-88.3508425000751,40.1421068997339,0,NA,2.59006571769714,23.6980781555176,28.4121055603027,18.7287502288818,52.8591461181641,24.5620002746582,10.74826241,Yes,No,904.5020771,10.72825148,NS
1834,564391.826,409959.4976,-88.3507774420853,40.1348865926418,0,NA,2.59006571769714,23.6980781555176,28.4121055603027,18.7287502288818,52.8591461181641,24.5620002746582,10.59096432,Yes,No,904.5020771,10.72825148,NS
1833,564346.6408,409160.9906,-88.3507124004152,40.1276661996748,1.53424298763275,180,2.59006571769714,23.6980781555176,28.4121055603027,18.7287502288818,52.8591461181641,24.5620002746582,10.42547989,Yes,No,905.8824427,10.78700904,S
1832,564299.2643,408361.7153,-88.3506723948017,40.1204375434127,3.0662887096405,360,0.108552634716034,21.3317604064941,26.1313648223877,15.4815244674683,58.3871116638184,27.2031002044678,6.726027489,Yes,No,905.8824427,10.78700904,N
1831,564251.8877,407562.4399,-88.3506323996072,40.1132088000257,2.42498207092285,341.565063476562,2.59006571769714,23.6980781555176,28.4121055603027,18.7287502288818,52.8591461181641,24.5620002746582,7.382527351,Yes,No,905.8824427,10.78700904,N
1830,564204.7419,406756.3935,-88.3505846942025,40.1059190935605,0,NA,2.59006571769714,23.6980781555176,28.4121055603027,18.7287502288818,52.8591461181641,24.5620002746582,11.06048584,Yes,No,905.8824427,10.78700904,NS
1829,564157.5961,405950.3472,-88.3505370000834,40.0986293001821,0,NA,2.59006571769714,23.6980781555176,28.4121055603027,18.7287502288818,52.8591461181641,24.5620002746582,11.06048584,Yes,No,905.8824427,10.78700904,NS
1828,564112.8994,405144.5198,-88.3504608910497,40.0913427938724,0,NA,15.9124345779419,21.7223625183105,26.9828548431396,12.1186857223511,60.8984603881836,28.1814994812012,11.45722198,Yes,No,908.1459911,10.82091339,NS
1827,564068.2027,404338.6924,-88.35038479989,40.0840561996118,0,NA,2.59006571769714,23.6980781555176,28.4121055603027,18.7287502288818,52.8591461181641,24.5620002746582,11.06048584,Yes,No,908.1459911,10.82091339,NS
1826,564023.9955,403539.3734,-88.3503078413104,40.0768284433606,0,NA,4.59414148330688,22.4380512237549,28.7805557250977,12.7623739242554,58.4570693969727,24.3879795074463,11.45722198,Yes,No,908.1459911,10.82091339,NS
1825,563979.7884,402740.0544,-88.3502308994871,40.0696006004498,0,NA,4.59414148330688,22.4380512237549,28.7805557250977,12.7623739242554,58.4570693969727,24.3879795074463,11.42015648,Yes,No,908.1459911,10.82091339,NS
1824,563932.5259,401940.5603,-88.3501894950157,40.0623693431437,0,NA,4.59414148330688,22.4380512237549,28.7805557250977,12.7623739242554,58.4570693969727,24.3879795074463,11.38166332,Yes,No,908.1459911,10.82091339,NS
1823,563538.0936,409206.4622,-88.3601899079094,40.1276124312853,0,NA,2.59006571769714,23.6980781555176,28.4121055603027,18.7287502288818,52.8591461181641,24.5620002746582,10.97621822,Yes,No,905.8824427,10.78700904,NS
1822,563443.5389,407608.6861,-88.3601059571536,40.1131621308348,0,NA,2.59006571769714,23.6980781555176,28.4121055603027,18.7287502288818,52.8591461181641,24.5620002746582,10.7482233,Yes,No,905.8824427,10.78700904,NS
1821,563345.9034,406006.9831,-88.3600550927066,40.098674335221,0,NA,2.59006571769714,23.6980781555176,28.4121055603027,18.7287502288818,52.8591461181641,24.5620002746582,11.45722198,Yes,No,905.8824427,10.78700904,NS
1820,563257.1815,404394.9564,-88.359892543203,40.0840982839809,0,NA,2.59006571769714,23.6980781555176,28.4121055603027,18.7287502288818,52.8591461181641,24.5620002746582,11.32636166,Yes,No,908.1459911,10.82091339,NS
1819,563170.1312,402796.0243,-88.3597202934834,40.0696408324891,0,NA,2.59006571769714,23.6980781555176,28.4121055603027,18.7287502288818,52.8591461181641,24.5620002746582,10.74826241,Yes,No,905.9514972,10.83007826,NS
