uniqueID,x,y,long,lat,Slope,Aspect,CAC,CEC,CLA,SAN,SIL,WAT,mean.SWI,Hydric,Floodplain,totalPPT,MeanTEMP,direction
12243,643691.1006,581100.1097,-87.5305555179951,41.7172103616744,0,NA,0.427224636,14.86753941,27.79801941,36.4819603,35.72002029,20.20876312,11.01641083,Yes,No,838.025102,10.15207648,NS
12242,643617.9235,579503.5632,-87.5304121735731,41.7028149585587,0,NA,0,10.58079433,18.3016758,57.55644989,24.14187241,16.58274269,11.80988407,Yes,No,821.7411775,10.18738493,NS
12241,643535.0813,577898.8088,-87.5303795257185,41.6883408283992,0,NA,0,3.905439615,4.340681076,92.56185913,3.097463369,11.71597958,11.80988407,No,No,821.7411775,10.18738493,NS
12240,643460.0138,576260.4314,-87.5302322175091,41.6735677210497,0,NA,11.42439751,18.85517259,19.80579464,46.11861227,25.32914023,16.97192778,11.06898975,No,No,821.7411775,10.18738493,NS
12239,643382.0962,574653.3337,-87.5301391191044,41.6590743353495,0,NA,5.44957217,21.13008586,11.27255502,56.25183579,14.38110506,18.00763997,11.65228939,No,No,814.9639215,10.13570844,NS
12238,643297.1646,573077.3901,-87.530149994956,41.6448575593929,0,NA,3.331095695,8.383620262,9.846133232,71.85391998,18.29994583,24.78612137,11.80988407,Yes,No,814.9639215,10.13570844,NS
12237,643295.5966,583356.8814,-87.5367449356596,41.7373188302888,0,NA,14.5065794,14.48157883,27.25329018,37.70394897,35.04276276,15.5,11.25649738,No,No,838.025102,10.15207648,NS
12236,643219.9632,571443.1932,-87.5300310772477,41.6301202129153,0,NA,14.2434206,14.41842175,27.12170982,37.54605103,35.33223724,15.65999985,11.80988407,No,No,821.8740558,10.04256522,NS
12235,643157.3202,569838.8023,-87.5297569154016,41.6156576947966,0,NA,2.373903513,16.20614052,30.54660034,33.09539413,36.35800552,18.63500023,11.35919285,No,No,821.8740558,10.04256522,NS
12234,643079.4282,568227.6444,-87.5296611225586,41.6011267184362,0,NA,0,3.905439615,4.340681076,92.56185913,3.097463369,11.71597958,10.80919075,No,No,821.8740558,10.04256522,NS
12233,642997.0401,566623.3668,-87.5296235788041,41.5866552082092,0,NA,2.510526419,24.02459145,35.7114563,17.97481346,46.31372833,27.35560036,11.03801632,Yes,No,832.7351599,9.939699683,NS
12232,642930.8619,565017.03,-87.529390772521,41.5721726753264,0,NA,2.510526419,24.02459145,35.7114563,17.97481346,46.31372833,27.35560036,11.35961151,Yes,No,832.7351599,9.939699683,NS
12231,642920.9018,581951.2045,-87.5403393770974,41.7244956845334,0,NA,2.778898882,17.87419406,33.72763266,28.85259791,37.41977272,17.15334685,11.6378479,No,No,838.025102,10.15207648,NS
12230,642885.4984,581157.4498,-87.5402552003559,41.7173393002816,3.25190258,225,2.848684311,18.68052673,35.28223801,26.79342079,37.92434311,16.50600052,4.750239372,No,No,838.025102,10.15207648,W
12229,642849.4919,580351.2179,-87.5401702796039,41.7100703345725,3.427397728,333.434967,2.848684311,18.68052673,35.28223801,26.79342079,37.92434311,16.50600052,6.827631474,No,No,821.7411775,10.18738493,N
12228,642839.2864,563406.9888,-87.5294595455752,41.5576443635318,0,NA,3.694872856,12.85943413,15.70909882,58.9636116,25.32728767,24.72800064,11.32661343,Yes,No,832.7351599,9.939699683,NS
12227,642813.8976,579553.8246,-87.5400861005171,41.7028810000005,0,NA,2.848684311,18.68052673,35.28223801,26.79342079,37.92434311,16.50600052,11.80988407,No,No,821.7411775,10.18738493,NS
12226,642768.6033,578745.6084,-87.540111313145,41.6955895883806,0,NA,0,10.58079433,18.3016758,57.55644989,24.14187241,16.58274269,11.80988407,Yes,No,821.7411775,10.18738493,NS
12225,642760.0914,561761.7424,-87.5293577668184,41.5428049888702,0,NA,0.066454016,26.80353546,37.48272324,14.31572342,48.20155334,25.07353592,10.85431767,Yes,No,844.4627829,9.860772078,NS
12224,642725.6893,577941.6332,-87.5401106996703,41.6883374003958,0,NA,0,10.58079433,18.3016758,57.55644989,24.14187241,16.58274269,11.80988407,Yes,No,821.7411775,10.18738493,NS
12223,642687.9142,577138.5397,-87.5400490487165,41.6810955465679,0,NA,2.848684311,18.68052673,35.28223801,26.79342079,37.92434311,16.50600052,11.80988407,No,No,821.7411775,10.18738493,NS
12222,642662.2598,560161.702,-87.5295076950536,41.5283630940899,0,NA,0.066454016,26.80353546,37.48272324,14.31572342,48.20155334,25.07353592,11.22539902,Yes,No,844.4627829,9.860772078,NS
12221,642650.568,576333.6667,-87.5399811319371,41.6738378255783,0,NA,2.848684311,18.68052673,35.28223801,26.79342079,37.92434311,16.50600052,11.80988407,No,No,821.7411775,10.18738493,NS
12220,642613.2238,558541.0411,-87.5290610882295,41.5137588074725,0,NA,0.066454016,26.80353546,37.48272324,14.31572342,48.20155334,25.07353592,11.62213516,Yes,No,844.4627829,9.860772078,NS
12219,642610.1831,575528.9519,-87.5399497504132,41.6665799997661,0,NA,13.60926437,19.69173813,37.26990509,11.53289509,51.19719696,10.94659805,11.80988407,Yes,No,814.9639215,10.13570844,NS
12218,642570.2268,574722.4569,-87.5399121004877,41.6593062995954,0,NA,2.373903513,16.20614052,30.54660034,33.09539413,36.35800552,18.63500023,11.80988407,No,No,814.9639215,10.13570844,NS
12217,642544.3927,585015.4358,-87.5468234994304,41.7518749004155,0,NA,2.373903513,16.20614052,30.54660034,33.09539413,36.35800552,18.63500023,11.25649738,No,No,838.025102,10.15207648,NS
12216,642532.0475,573923.0282,-87.5398576925211,41.6520969488372,0,NA,2.373903513,16.20614052,30.54660034,33.09539413,36.35800552,18.63500023,11.80988407,No,No,814.9639215,10.13570844,NS
12215,642527.2113,556917.3537,-87.5290546943235,41.4991092770968,0,NA,0.066454016,26.80353546,37.48272324,14.31572342,48.20155334,25.07353592,11.22539902,Yes,No,854.019881,9.779198893,NS
12214,642510.2683,584203.7092,-87.546711623049,41.7445577424038,0,NA,2.373903513,16.20614052,30.54660034,33.09539413,36.35800552,18.63500023,11.65323448,No,No,838.025102,10.15207648,NS
12213,642493.5179,573116.2664,-87.5398027996603,41.6448213997209,0,NA,2.848684311,18.68052673,35.28223801,26.79342079,37.92434311,16.50600052,11.80988407,No,No,814.9639215,10.13570844,NS
12212,642483.2451,583399.6614,-87.5465195005262,41.7373130000304,0,NA,2.373903513,16.20614052,30.54660034,33.09539413,36.35800552,18.63500023,11.65323448,No,No,838.025102,10.15207648,NS
12211,642458.7714,555309.8399,-87.5288486356188,41.4846134088617,9.191706657,245.5560455,0.066454016,26.80353546,37.48272324,14.31572342,48.20155334,25.07353592,5.714799404,Yes,No,854.019881,9.779198893,W
12210,642452.3658,572306.9719,-87.5397777133178,41.6375217395269,0,NA,0,10.58079433,18.3016758,57.55644989,24.14187241,16.58274269,11.80988407,Yes,No,814.9639215,10.13570844,NS
12209,642412.8875,571502.8561,-87.5397358998053,41.6302694003153,0,NA,2.848684311,18.68052673,35.28223801,26.79342079,37.92434311,16.50600052,11.80988407,No,No,821.8740558,10.04256522,NS
12208,642382.6859,570689.9911,-87.5395774001749,41.6229427486952,3.06628871,360,2.848684311,18.68052673,35.28223801,26.79342079,37.92434311,16.50600052,7.699877262,No,No,821.8740558,10.04256522,N
12207,642358.5883,553705.4285,-87.5290238485433,41.4701299531929,6.115113735,360,11.3815794,14.13684177,34.01315689,12.44736862,53.53947449,17.84000015,5.285002708,No,No,854.019881,9.779198893,N
12206,642353.3288,569875.366,-87.539407700403,41.6156006004282,0,NA,2.848684311,18.68052673,35.28223801,26.79342079,37.92434311,16.50600052,11.43475246,No,No,821.8740558,10.04256522,NS
12205,642314.9307,569070.9606,-87.5393528279521,41.6083459704506,0,NA,0.06383834,4.012608528,4.906382561,88.08109283,7.012526989,13.75408173,11.43475246,Yes,No,821.8740558,10.04256522,NS
12204,642277.1691,568271.4762,-87.5392934964797,41.6011358468021,0,NA,0.06383834,4.012608528,4.906382561,88.08109283,7.012526989,13.75408173,11.03801632,Yes,No,821.8740558,10.04256522,NS
12203,642249.894,581186.7852,-87.5478978758768,41.7172973562724,0,NA,2.848684311,18.68052673,35.28223801,26.79342079,37.92434311,16.50600052,10.46351814,No,No,838.025102,10.15207648,NS
12202,642234.6994,567463.8833,-87.5392853500221,41.593850449769,0,NA,2.510526419,24.02459145,35.7114563,17.97481346,46.31372833,27.35560036,11.00094986,Yes,No,821.8740558,10.04256522,NS
12201,642193.4811,566655.0657,-87.5392614446742,41.5865545681471,3.06628871,360,0.815923572,23.84466171,28.94119835,11.02559376,60.03320694,28.45300102,6.968080997,Yes,Yes,832.7351599,9.939699683,N
